,Account number,Organization,Row,RowName,evaluation_status,scope3_emissions
9262,5767,"EOG Resources, Inc.",15,Investments,,Question not applicable
9263,5767,"EOG Resources, Inc.",16,Other (upstream),,Question not applicable
9264,5767,"EOG Resources, Inc.",17,Other (downstream),,Question not applicable
9775,6332,Finnair,1,Purchased goods and services,"Relevant, calculated",236342
9776,6332,Finnair,2,Capital goods,"Relevant, calculated",0
9777,6332,Finnair,3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Relevant, calculated",550828
9778,6332,Finnair,4,Upstream transportation and distribution,"Relevant, calculated",12909
9779,6332,Finnair,5,Waste generated in operations,"Relevant, calculated",862
9780,6332,Finnair,6,Business travel,"Relevant, calculated",4953
9781,6332,Finnair,7,Employee commuting,"Relevant, not yet calculated",Question not applicable
9782,6332,Finnair,8,Upstream leased assets,"Not relevant, explanation provided",Question not applicable
9783,6332,Finnair,9,Downstream transportation and distribution,"Not relevant, calculated",120
9784,6332,Finnair,10,Processing of sold products,"Not relevant, explanation provided",Question not applicable
9785,6332,Finnair,11,Use of sold products,"Not relevant, explanation provided",Question not applicable
9786,6332,Finnair,12,End of life treatment of sold products,"Not relevant, explanation provided",Question not applicable
9787,6332,Finnair,13,Downstream leased assets,"Relevant, calculated",238532
9788,6332,Finnair,14,Franchises,"Not relevant, explanation provided",Question not applicable
9789,6332,Finnair,15,Investments,"Not relevant, explanation provided",Question not applicable
9790,6332,Finnair,16,Other (upstream),,Question not applicable
9791,6332,Finnair,17,Other (downstream),,Question not applicable
10132,6595,Ford Motor Company,1,Purchased goods and services,"Relevant, calculated",40523517
10133,6595,Ford Motor Company,2,Capital goods,"Relevant, calculated",3692787
10134,6595,Ford Motor Company,3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Relevant, calculated",749237
10135,6595,Ford Motor Company,4,Upstream transportation and distribution,"Relevant, calculated",1936637
10136,6595,Ford Motor Company,5,Waste generated in operations,"Not relevant, calculated",6634
10137,6595,Ford Motor Company,6,Business travel,"Relevant, calculated",26712
10138,6595,Ford Motor Company,7,Employee commuting,"Relevant, calculated",564852
10139,6595,Ford Motor Company,8,Upstream leased assets,"Not relevant, explanation provided",Question not applicable
10140,6595,Ford Motor Company,9,Downstream transportation and distribution,"Not relevant, explanation provided",Question not applicable
10141,6595,Ford Motor Company,10,Processing of sold products,"Not relevant, explanation provided",Question not applicable
10142,6595,Ford Motor Company,11,Use of sold products,"Relevant, calculated",319568185
10143,6595,Ford Motor Company,12,End of life treatment of sold products,"Relevant, calculated",1178242
10144,6595,Ford Motor Company,13,Downstream leased assets,"Not relevant, explanation provided",Question not applicable
10145,6595,Ford Motor Company,14,Franchises,"Relevant, calculated",1976291
10146,6595,Ford Motor Company,15,Investments,"Not relevant, explanation provided",Question not applicable
10147,6595,Ford Motor Company,16,Other (upstream),,Question not applicable
10148,6595,Ford Motor Company,17,Other (downstream),,Question not applicable
10149,6602,Formosa Petrochemical,1,Purchased goods and services,"Relevant, calculated",6985841.538
10150,6602,Formosa Petrochemical,2,Capital goods,"Relevant, calculated",34291.619
10151,6602,Formosa Petrochemical,3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Relevant, calculated",1482853.872
10152,6602,Formosa Petrochemical,4,Upstream transportation and distribution,"Relevant, calculated",6168576.024
10153,6602,Formosa Petrochemical,5,Waste generated in operations,"Relevant, calculated",10521.703
10154,6602,Formosa Petrochemical,6,Business travel,"Relevant, calculated",0.073
10155,6602,Formosa Petrochemical,7,Employee commuting,"Relevant, calculated",1058.982
10156,6602,Formosa Petrochemical,8,Upstream leased assets,"Not relevant, explanation provided",Question not applicable
10157,6602,Formosa Petrochemical,9,Downstream transportation and distribution,"Relevant, calculated",1286275.513
10158,6602,Formosa Petrochemical,10,Processing of sold products,"Relevant, calculated",9424319.735
10159,6602,Formosa Petrochemical,11,Use of sold products,"Relevant, calculated",34891492.66
10160,6602,Formosa Petrochemical,12,End of life treatment of sold products,"Not relevant, explanation provided",Question not applicable
10161,6602,Formosa Petrochemical,13,Downstream leased assets,"Not relevant, explanation provided",Question not applicable
10162,6602,Formosa Petrochemical,14,Franchises,"Not relevant, explanation provided",Question not applicable
10163,6602,Formosa Petrochemical,15,Investments,"Relevant, calculated",1769549.015
10164,6602,Formosa Petrochemical,16,Other (upstream),"Not relevant, explanation provided",Question not applicable
10165,6602,Formosa Petrochemical,17,Other (downstream),"Not relevant, explanation provided",Question not applicable
10438,6855,SUBARU CORPORATION,1,Purchased goods and services,"Relevant, calculated",1726492.8
10439,6855,SUBARU CORPORATION,2,Capital goods,"Relevant, calculated",402915.2
10440,6855,SUBARU CORPORATION,3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Relevant, calculated",95351.9
10441,6855,SUBARU CORPORATION,4,Upstream transportation and distribution,"Relevant, calculated",426929
10442,6855,SUBARU CORPORATION,5,Waste generated in operations,"Relevant, calculated",28732.9
10443,6855,SUBARU CORPORATION,6,Business travel,"Relevant, calculated",4877.7
10444,6855,SUBARU CORPORATION,7,Employee commuting,"Relevant, calculated",14817.6
10445,6855,SUBARU CORPORATION,8,Upstream leased assets,"Not relevant, explanation provided",Question not applicable
10446,6855,SUBARU CORPORATION,9,Downstream transportation and distribution,"Relevant, calculated",5842
10447,6855,SUBARU CORPORATION,10,Processing of sold products,"Not relevant, explanation provided",Question not applicable
10448,6855,SUBARU CORPORATION,11,Use of sold products,"Relevant, calculated",27453385
10449,6855,SUBARU CORPORATION,12,End of life treatment of sold products,"Relevant, calculated",480917
10450,6855,SUBARU CORPORATION,13,Downstream leased assets,"Relevant, calculated",1984
10451,6855,SUBARU CORPORATION,14,Franchises,"Not relevant, explanation provided",Question not applicable
10452,6855,SUBARU CORPORATION,15,Investments,"Not relevant, explanation provided",Question not applicable
10453,6855,SUBARU CORPORATION,16,Other (upstream),"Not relevant, explanation provided",Question not applicable
10454,6855,SUBARU CORPORATION,17,Other (downstream),"Not relevant, explanation provided",Question not applicable
10829,7164,General Motors Company,1,Purchased goods and services,"Relevant, calculated",49388347
10830,7164,General Motors Company,2,Capital goods,"Relevant, calculated",3148823
10831,7164,General Motors Company,3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Not relevant, calculated",281515
10832,7164,General Motors Company,4,Upstream transportation and distribution,"Not relevant, calculated",2741620
10833,7164,General Motors Company,5,Waste generated in operations,"Not relevant, calculated",444452
10834,7164,General Motors Company,6,Business travel,"Not relevant, calculated",20664
10835,7164,General Motors Company,7,Employee commuting,"Not relevant, calculated",510011
10836,7164,General Motors Company,8,Upstream leased assets,"Not relevant, calculated",106380
10837,7164,General Motors Company,9,Downstream transportation and distribution,"Not relevant, calculated",1030317
10838,7164,General Motors Company,10,Processing of sold products,"Not relevant, calculated",2831687
10839,7164,General Motors Company,11,Use of sold products,"Relevant, calculated",208553229
10840,7164,General Motors Company,12,End of life treatment of sold products,"Not relevant, calculated",2375600
10841,7164,General Motors Company,13,Downstream leased assets,"Not relevant, calculated",42793
10842,7164,General Motors Company,14,Franchises,"Not relevant, calculated",1181771
10843,7164,General Motors Company,15,Investments,"Not relevant, calculated",65396
10844,7164,General Motors Company,16,Other (upstream),Not evaluated,Question not applicable
10845,7164,General Motors Company,17,Other (downstream),Not evaluated,Question not applicable
11203,7581,Gol Linhas Aereas Inteligentes S.A.,1,Purchased goods and services,"Relevant, not yet calculated",Question not applicable
11204,7581,Gol Linhas Aereas Inteligentes S.A.,2,Capital goods,"Relevant, not yet calculated",Question not applicable
11205,7581,Gol Linhas Aereas Inteligentes S.A.,3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Relevant, calculated",108684
11206,7581,Gol Linhas Aereas Inteligentes S.A.,4,Upstream transportation and distribution,"Relevant, calculated",101998
11207,7581,Gol Linhas Aereas Inteligentes S.A.,5,Waste generated in operations,"Relevant, calculated",687.45
11208,7581,Gol Linhas Aereas Inteligentes S.A.,6,Business travel,"Relevant, calculated",450.59
11209,7581,Gol Linhas Aereas Inteligentes S.A.,7,Employee commuting,"Relevant, calculated",32971
11210,7581,Gol Linhas Aereas Inteligentes S.A.,8,Upstream leased assets,,Question not applicable
11211,7581,Gol Linhas Aereas Inteligentes S.A.,9,Downstream transportation and distribution,"Relevant, calculated",282.66
11212,7581,Gol Linhas Aereas Inteligentes S.A.,10,Processing of sold products,,Question not applicable
11213,7581,Gol Linhas Aereas Inteligentes S.A.,11,Use of sold products,,Question not applicable
11214,7581,Gol Linhas Aereas Inteligentes S.A.,12,End of life treatment of sold products,,Question not applicable
11215,7581,Gol Linhas Aereas Inteligentes S.A.,13,Downstream leased assets,,Question not applicable
11216,7581,Gol Linhas Aereas Inteligentes S.A.,14,Franchises,,Question not applicable
11217,7581,Gol Linhas Aereas Inteligentes S.A.,15,Investments,,Question not applicable
11218,7581,Gol Linhas Aereas Inteligentes S.A.,16,Other (upstream),,Question not applicable
11219,7581,Gol Linhas Aereas Inteligentes S.A.,17,Other (downstream),,Question not applicable
12427,8362,"Hino Motors, Ltd.",1,Purchased goods and services,"Relevant, calculated",2786000
12428,8362,"Hino Motors, Ltd.",2,Capital goods,"Relevant, calculated",162000
12429,8362,"Hino Motors, Ltd.",3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Relevant, calculated",67000
12430,8362,"Hino Motors, Ltd.",4,Upstream transportation and distribution,"Relevant, calculated",12000
12431,8362,"Hino Motors, Ltd.",5,Waste generated in operations,"Relevant, calculated",8000
12432,8362,"Hino Motors, Ltd.",6,Business travel,"Relevant, calculated",1000
12433,8362,"Hino Motors, Ltd.",7,Employee commuting,"Relevant, calculated",33000
12434,8362,"Hino Motors, Ltd.",8,Upstream leased assets,Not evaluated,Question not applicable
12435,8362,"Hino Motors, Ltd.",9,Downstream transportation and distribution,"Relevant, calculated",6000
12436,8362,"Hino Motors, Ltd.",10,Processing of sold products,"Relevant, calculated",870000
12437,8362,"Hino Motors, Ltd.",11,Use of sold products,"Relevant, calculated",
12438,8362,"Hino Motors, Ltd.",12,End of life treatment of sold products,"Relevant, calculated",62000
12439,8362,"Hino Motors, Ltd.",13,Downstream leased assets,"Not relevant, explanation provided",Question not applicable
12440,8362,"Hino Motors, Ltd.",14,Franchises,"Relevant, not yet calculated",Question not applicable
12441,8362,"Hino Motors, Ltd.",15,Investments,"Relevant, calculated",48000
12442,8362,"Hino Motors, Ltd.",16,Other (upstream),Not evaluated,Question not applicable
12443,8362,"Hino Motors, Ltd.",17,Other (downstream),Not evaluated,Question not applicable
12733,8566,"Honda Motor Co., Ltd.",1,Purchased goods and services,"Relevant, calculated",48161150
12734,8566,"Honda Motor Co., Ltd.",2,Capital goods,"Relevant, calculated",1416564
12735,8566,"Honda Motor Co., Ltd.",3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Relevant, calculated",450027
12736,8566,"Honda Motor Co., Ltd.",4,Upstream transportation and distribution,"Relevant, calculated",2929173
12737,8566,"Honda Motor Co., Ltd.",5,Waste generated in operations,"Relevant, calculated",200356
12738,8566,"Honda Motor Co., Ltd.",6,Business travel,"Relevant, calculated",269507
12739,8566,"Honda Motor Co., Ltd.",7,Employee commuting,"Relevant, calculated",160692
12740,8566,"Honda Motor Co., Ltd.",8,Upstream leased assets,"Not relevant, explanation provided",Question not applicable
12741,8566,"Honda Motor Co., Ltd.",9,Downstream transportation and distribution,"Relevant, calculated",103724
12742,8566,"Honda Motor Co., Ltd.",10,Processing of sold products,"Relevant, calculated",478
12743,8566,"Honda Motor Co., Ltd.",11,Use of sold products,"Relevant, calculated",226855366
12744,8566,"Honda Motor Co., Ltd.",12,End of life treatment of sold products,"Relevant, calculated",3470472
12745,8566,"Honda Motor Co., Ltd.",13,Downstream leased assets,"Not relevant, explanation provided",Question not applicable
12746,8566,"Honda Motor Co., Ltd.",14,Franchises,"Not relevant, explanation provided",Question not applicable
12747,8566,"Honda Motor Co., Ltd.",15,Investments,"Relevant, calculated",392237
12748,8566,"Honda Motor Co., Ltd.",16,Other (upstream),,Question not applicable
12749,8566,"Honda Motor Co., Ltd.",17,Other (downstream),,Question not applicable
13209,8708,Hyundai Motor Co,1,Purchased goods and services,"Relevant, calculated",19852763
13210,8708,Hyundai Motor Co,2,Capital goods,"Relevant, calculated",326
13211,8708,Hyundai Motor Co,3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Relevant, calculated",145177
13212,8708,Hyundai Motor Co,4,Upstream transportation and distribution,"Not relevant, explanation provided",Question not applicable
13213,8708,Hyundai Motor Co,5,Waste generated in operations,"Relevant, calculated",1978
13214,8708,Hyundai Motor Co,6,Business travel,"Relevant, calculated",21370
13215,8708,Hyundai Motor Co,7,Employee commuting,"Relevant, calculated",6617
13216,8708,Hyundai Motor Co,8,Upstream leased assets,"Not relevant, explanation provided",Question not applicable
13217,8708,Hyundai Motor Co,9,Downstream transportation and distribution,"Relevant, calculated",964206
13218,8708,Hyundai Motor Co,10,Processing of sold products,"Not relevant, explanation provided",Question not applicable
13219,8708,Hyundai Motor Co,11,Use of sold products,"Relevant, calculated",81959096
13220,8708,Hyundai Motor Co,12,End of life treatment of sold products,"Relevant, calculated",2133743
13221,8708,Hyundai Motor Co,13,Downstream leased assets,"Relevant, calculated",539
13222,8708,Hyundai Motor Co,14,Franchises,"Not relevant, explanation provided",Question not applicable
13223,8708,Hyundai Motor Co,15,Investments,"Relevant, calculated",704970
13224,8708,Hyundai Motor Co,16,Other (upstream),"Not relevant, explanation provided",Question not applicable
13225,8708,Hyundai Motor Co,17,Other (downstream),"Not relevant, explanation provided",Question not applicable
13413,8793,"Idemitsu Kosan Co., Ltd.",1,Purchased goods and services,"Relevant, calculated",15726268
13414,8793,"Idemitsu Kosan Co., Ltd.",2,Capital goods,"Relevant, calculated",286021
13415,8793,"Idemitsu Kosan Co., Ltd.",3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Relevant, calculated",2713579
13416,8793,"Idemitsu Kosan Co., Ltd.",4,Upstream transportation and distribution,"Relevant, calculated",2423808
13417,8793,"Idemitsu Kosan Co., Ltd.",5,Waste generated in operations,"Relevant, calculated",64020.906
13418,8793,"Idemitsu Kosan Co., Ltd.",6,Business travel,"Relevant, calculated",663
13419,8793,"Idemitsu Kosan Co., Ltd.",7,Employee commuting,"Relevant, calculated",1733
13420,8793,"Idemitsu Kosan Co., Ltd.",8,Upstream leased assets,"Not relevant, explanation provided",Question not applicable
13421,8793,"Idemitsu Kosan Co., Ltd.",9,Downstream transportation and distribution,"Not relevant, explanation provided",Question not applicable
13422,8793,"Idemitsu Kosan Co., Ltd.",10,Processing of sold products,"Not relevant, explanation provided",Question not applicable
13423,8793,"Idemitsu Kosan Co., Ltd.",11,Use of sold products,"Relevant, calculated",140531769
13424,8793,"Idemitsu Kosan Co., Ltd.",12,End of life treatment of sold products,"Relevant, calculated",5789398
13425,8793,"Idemitsu Kosan Co., Ltd.",13,Downstream leased assets,"Relevant, calculated",12263
13426,8793,"Idemitsu Kosan Co., Ltd.",14,Franchises,"Relevant, calculated",147217
13427,8793,"Idemitsu Kosan Co., Ltd.",15,Investments,"Relevant, calculated",1401558
13428,8793,"Idemitsu Kosan Co., Ltd.",16,Other (upstream),"Not relevant, explanation provided",Question not applicable
13429,8793,"Idemitsu Kosan Co., Ltd.",17,Other (downstream),"Not relevant, explanation provided",Question not applicable
13889,9134,Inpex Corporation,1,Purchased goods and services,"Relevant, calculated",686133.111
13890,9134,Inpex Corporation,2,Capital goods,"Not relevant, explanation provided",Question not applicable
13891,9134,Inpex Corporation,3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Not relevant, explanation provided",Question not applicable
13892,9134,Inpex Corporation,4,Upstream transportation and distribution,"Relevant, calculated",46234.8
13893,9134,Inpex Corporation,5,Waste generated in operations,"Not relevant, explanation provided",Question not applicable
13894,9134,Inpex Corporation,6,Business travel,"Not relevant, explanation provided",Question not applicable
13895,9134,Inpex Corporation,7,Employee commuting,"Not relevant, explanation provided",Question not applicable
13896,9134,Inpex Corporation,8,Upstream leased assets,"Not relevant, explanation provided",Question not applicable
13897,9134,Inpex Corporation,9,Downstream transportation and distribution,"Relevant, calculated",113340.455
13898,9134,Inpex Corporation,10,Processing of sold products,"Not relevant, explanation provided",Question not applicable
13899,9134,Inpex Corporation,11,Use of sold products,"Relevant, calculated",84309935.69
13900,9134,Inpex Corporation,12,End of life treatment of sold products,"Not relevant, explanation provided",Question not applicable
13901,9134,Inpex Corporation,13,Downstream leased assets,"Not relevant, explanation provided",Question not applicable
13902,9134,Inpex Corporation,14,Franchises,"Not relevant, explanation provided",Question not applicable
13903,9134,Inpex Corporation,15,Investments,"Not relevant, explanation provided",Question not applicable
13904,9134,Inpex Corporation,16,Other (upstream),"Not relevant, explanation provided",Question not applicable
13905,9134,Inpex Corporation,17,Other (downstream),"Not relevant, explanation provided",Question not applicable
14314,9559,Isuzu Motors Limited,1,Purchased goods and services,"Relevant, calculated",6006103
14315,9559,Isuzu Motors Limited,2,Capital goods,"Relevant, calculated",21510
14316,9559,Isuzu Motors Limited,3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Relevant, calculated",46263
14317,9559,Isuzu Motors Limited,4,Upstream transportation and distribution,"Relevant, calculated",40733
14318,9559,Isuzu Motors Limited,5,Waste generated in operations,"Relevant, calculated",1533
14319,9559,Isuzu Motors Limited,6,Business travel,"Relevant, calculated",1050
14320,9559,Isuzu Motors Limited,7,Employee commuting,"Relevant, calculated",3476
14321,9559,Isuzu Motors Limited,8,Upstream leased assets,"Not relevant, explanation provided",Question not applicable
14322,9559,Isuzu Motors Limited,9,Downstream transportation and distribution,"Not relevant, explanation provided",Question not applicable
14323,9559,Isuzu Motors Limited,10,Processing of sold products,"Relevant, calculated",184204
14324,9559,Isuzu Motors Limited,11,Use of sold products,"Relevant, calculated",96457196
14325,9559,Isuzu Motors Limited,12,End of life treatment of sold products,"Relevant, calculated",1816
14326,9559,Isuzu Motors Limited,13,Downstream leased assets,"Not relevant, explanation provided",Question not applicable
14327,9559,Isuzu Motors Limited,14,Franchises,"Not relevant, explanation provided",Question not applicable
14328,9559,Isuzu Motors Limited,15,Investments,"Not relevant, explanation provided",Question not applicable
14329,9559,Isuzu Motors Limited,16,Other (upstream),,Question not applicable
14330,9559,Isuzu Motors Limited,17,Other (downstream),,Question not applicable
14603,9703,Japan Airlines Corporation,1,Purchased goods and services,"Relevant, calculated",287012
14604,9703,Japan Airlines Corporation,2,Capital goods,"Relevant, calculated",350429
14605,9703,Japan Airlines Corporation,3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Relevant, calculated",1111211
14606,9703,Japan Airlines Corporation,4,Upstream transportation and distribution,"Not relevant, explanation provided",Question not applicable
14607,9703,Japan Airlines Corporation,5,Waste generated in operations,"Relevant, calculated",1155
14608,9703,Japan Airlines Corporation,6,Business travel,"Relevant, calculated",4685
14609,9703,Japan Airlines Corporation,7,Employee commuting,"Relevant, calculated",8089
14610,9703,Japan Airlines Corporation,8,Upstream leased assets,"Relevant, calculated",2706
14611,9703,Japan Airlines Corporation,9,Downstream transportation and distribution,"Not relevant, explanation provided",Question not applicable
14612,9703,Japan Airlines Corporation,10,Processing of sold products,"Not relevant, explanation provided",Question not applicable
14613,9703,Japan Airlines Corporation,11,Use of sold products,"Not relevant, explanation provided",Question not applicable
14614,9703,Japan Airlines Corporation,12,End of life treatment of sold products,"Not relevant, explanation provided",Question not applicable
14615,9703,Japan Airlines Corporation,13,Downstream leased assets,"Not relevant, explanation provided",Question not applicable
14616,9703,Japan Airlines Corporation,14,Franchises,"Not relevant, explanation provided",Question not applicable
14617,9703,Japan Airlines Corporation,15,Investments,"Not relevant, explanation provided",Question not applicable
14618,9703,Japan Airlines Corporation,16,Other (upstream),,Question not applicable
14619,9703,Japan Airlines Corporation,17,Other (downstream),,Question not applicable
14722,9759,Jetblue Airways Corporation,1,Purchased goods and services,"Relevant, calculated",168597
14723,9759,Jetblue Airways Corporation,2,Capital goods,"Relevant, calculated",139980
14724,9759,Jetblue Airways Corporation,3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Relevant, calculated",1687085
14725,9759,Jetblue Airways Corporation,4,Upstream transportation and distribution,"Not relevant, explanation provided",Question not applicable
14726,9759,Jetblue Airways Corporation,5,Waste generated in operations,"Relevant, not yet calculated",Question not applicable
14727,9759,Jetblue Airways Corporation,6,Business travel,"Relevant, calculated",50847
14728,9759,Jetblue Airways Corporation,7,Employee commuting,Not evaluated,Question not applicable
14729,9759,Jetblue Airways Corporation,8,Upstream leased assets,"Relevant, calculated",94692
14730,9759,Jetblue Airways Corporation,9,Downstream transportation and distribution,"Not relevant, explanation provided",Question not applicable
14731,9759,Jetblue Airways Corporation,10,Processing of sold products,"Not relevant, explanation provided",Question not applicable
14732,9759,Jetblue Airways Corporation,11,Use of sold products,"Not relevant, explanation provided",Question not applicable
14733,9759,Jetblue Airways Corporation,12,End of life treatment of sold products,"Not relevant, explanation provided",Question not applicable
14734,9759,Jetblue Airways Corporation,13,Downstream leased assets,"Not relevant, explanation provided",Question not applicable
14735,9759,Jetblue Airways Corporation,14,Franchises,"Not relevant, explanation provided",Question not applicable
14736,9759,Jetblue Airways Corporation,15,Investments,"Relevant, not yet calculated",Question not applicable
14737,9759,Jetblue Airways Corporation,16,Other (upstream),Not evaluated,Question not applicable
14738,9759,Jetblue Airways Corporation,17,Other (downstream),Not evaluated,Question not applicable
15419,10076,Kia Motors Corp,1,Purchased goods and services,"Relevant, calculated",13736281
15420,10076,Kia Motors Corp,2,Capital goods,"Relevant, calculated",2545
15421,10076,Kia Motors Corp,3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Relevant, calculated",99271
15422,10076,Kia Motors Corp,4,Upstream transportation and distribution,"Not relevant, explanation provided",Question not applicable
15423,10076,Kia Motors Corp,5,Waste generated in operations,"Relevant, calculated",30796
15424,10076,Kia Motors Corp,6,Business travel,"Relevant, calculated",5135
15425,10076,Kia Motors Corp,7,Employee commuting,"Relevant, calculated",277552
15426,10076,Kia Motors Corp,8,Upstream leased assets,"Not relevant, explanation provided",Question not applicable
15427,10076,Kia Motors Corp,9,Downstream transportation and distribution,"Relevant, calculated",1153600
15428,10076,Kia Motors Corp,10,Processing of sold products,"Not relevant, explanation provided",Question not applicable
15429,10076,Kia Motors Corp,11,Use of sold products,"Relevant, calculated",57389971
15430,10076,Kia Motors Corp,12,End of life treatment of sold products,"Relevant, calculated",188991
15431,10076,Kia Motors Corp,13,Downstream leased assets,"Not relevant, explanation provided",Question not applicable
15432,10076,Kia Motors Corp,14,Franchises,"Not relevant, explanation provided",Question not applicable
15433,10076,Kia Motors Corp,15,Investments,"Relevant, calculated",91313
15434,10076,Kia Motors Corp,16,Other (upstream),"Not relevant, explanation provided",Question not applicable
15435,10076,Kia Motors Corp,17,Other (downstream),"Not relevant, explanation provided",Question not applicable
15589,10150,Kinder Morgan Inc.,1,Purchased goods and services,Not evaluated,Question not applicable
15590,10150,Kinder Morgan Inc.,2,Capital goods,Not evaluated,Question not applicable
15591,10150,Kinder Morgan Inc.,3,Fuel-and-energy-related activities (not included in Scope 1 or 2),Not evaluated,Question not applicable
15592,10150,Kinder Morgan Inc.,4,Upstream transportation and distribution,Not evaluated,Question not applicable
15593,10150,Kinder Morgan Inc.,5,Waste generated in operations,Not evaluated,Question not applicable
15594,10150,Kinder Morgan Inc.,6,Business travel,Not evaluated,Question not applicable
15595,10150,Kinder Morgan Inc.,7,Employee commuting,Not evaluated,Question not applicable
15596,10150,Kinder Morgan Inc.,8,Upstream leased assets,Not evaluated,Question not applicable
15597,10150,Kinder Morgan Inc.,9,Downstream transportation and distribution,Not evaluated,Question not applicable
15598,10150,Kinder Morgan Inc.,10,Processing of sold products,Not evaluated,Question not applicable
15599,10150,Kinder Morgan Inc.,11,Use of sold products,Not evaluated,Question not applicable
15600,10150,Kinder Morgan Inc.,12,End of life treatment of sold products,Not evaluated,Question not applicable
15601,10150,Kinder Morgan Inc.,13,Downstream leased assets,Not evaluated,Question not applicable
15602,10150,Kinder Morgan Inc.,14,Franchises,"Not relevant, explanation provided",Question not applicable
15603,10150,Kinder Morgan Inc.,15,Investments,Not evaluated,Question not applicable
15604,10150,Kinder Morgan Inc.,16,Other (upstream),Not evaluated,Question not applicable
15605,10150,Kinder Morgan Inc.,17,Other (downstream),Not evaluated,Question not applicable
15963,10289,Korean Air Lines Co Ltd,1,Purchased goods and services,"Relevant, calculated",9998
15964,10289,Korean Air Lines Co Ltd,2,Capital goods,"Relevant, calculated",22972
15965,10289,Korean Air Lines Co Ltd,3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Relevant, calculated",1975406
15966,10289,Korean Air Lines Co Ltd,4,Upstream transportation and distribution,,Question not applicable
15967,10289,Korean Air Lines Co Ltd,5,Waste generated in operations,"Relevant, calculated",697.919
15968,10289,Korean Air Lines Co Ltd,6,Business travel,"Relevant, calculated",1.839
15969,10289,Korean Air Lines Co Ltd,7,Employee commuting,"Relevant, calculated",1078.22
15970,10289,Korean Air Lines Co Ltd,8,Upstream leased assets,,Question not applicable
15971,10289,Korean Air Lines Co Ltd,9,Downstream transportation and distribution,"Relevant, not yet calculated",Question not applicable
15972,10289,Korean Air Lines Co Ltd,10,Processing of sold products,"Not relevant, explanation provided",Question not applicable
15973,10289,Korean Air Lines Co Ltd,11,Use of sold products,"Not relevant, explanation provided",Question not applicable
15974,10289,Korean Air Lines Co Ltd,12,End of life treatment of sold products,"Not relevant, explanation provided",Question not applicable
15975,10289,Korean Air Lines Co Ltd,13,Downstream leased assets,,Question not applicable
15976,10289,Korean Air Lines Co Ltd,14,Franchises,"Not relevant, explanation provided",Question not applicable
15977,10289,Korean Air Lines Co Ltd,15,Investments,,Question not applicable
15978,10289,Korean Air Lines Co Ltd,16,Other (upstream),,Question not applicable
15979,10289,Korean Air Lines Co Ltd,17,Other (downstream),,Question not applicable
17102,11043,PJSC Lukoil,1,Purchased goods and services,"Not relevant, explanation provided",Question not applicable
17103,11043,PJSC Lukoil,2,Capital goods,"Not relevant, explanation provided",Question not applicable
17104,11043,PJSC Lukoil,3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Not relevant, explanation provided",Question not applicable
17105,11043,PJSC Lukoil,4,Upstream transportation and distribution,"Not relevant, explanation provided",Question not applicable
17106,11043,PJSC Lukoil,5,Waste generated in operations,"Not relevant, explanation provided",Question not applicable
17107,11043,PJSC Lukoil,6,Business travel,Not evaluated,Question not applicable
17108,11043,PJSC Lukoil,7,Employee commuting,"Not relevant, explanation provided",Question not applicable
17109,11043,PJSC Lukoil,8,Upstream leased assets,"Not relevant, explanation provided",Question not applicable
17110,11043,PJSC Lukoil,9,Downstream transportation and distribution,"Relevant, calculated",4458430
17111,11043,PJSC Lukoil,10,Processing of sold products,"Not relevant, explanation provided",Question not applicable
17112,11043,PJSC Lukoil,11,Use of sold products,"Relevant, calculated",319893885
17113,11043,PJSC Lukoil,12,End of life treatment of sold products,"Not relevant, explanation provided",Question not applicable
17114,11043,PJSC Lukoil,13,Downstream leased assets,"Not relevant, explanation provided",Question not applicable
17115,11043,PJSC Lukoil,14,Franchises,"Not relevant, explanation provided",Question not applicable
17116,11043,PJSC Lukoil,15,Investments,"Not relevant, explanation provided",Question not applicable
17117,11043,PJSC Lukoil,16,Other (upstream),,Question not applicable
17118,11043,PJSC Lukoil,17,Other (downstream),,Question not applicable
17323,11267,Mahindra & Mahindra,1,Purchased goods and services,"Relevant, calculated",8002325
17324,11267,Mahindra & Mahindra,2,Capital goods,"Not relevant, explanation provided",Question not applicable
17325,11267,Mahindra & Mahindra,3,Fuel-and-energy-related activities (not included in Scope 1 or 2),"Not relevant, calculated",67102
17326,11267,Mahindra & Mahindra,4,Upstream transportation and distribution,"Relevant, calculated",82255
