Account number,Organization,Row,RowName,project_type,mitigatin_activity,project_description,credit_retired,purpose_retiring,purchased_issued,standard
13870,OMV AG,7,,Solar,Emissions reduction,"100 MW of solar power project in Guttigoli village in the state of Karnataka. The project activity generates clean and affordable electrical power for the Indian national grid. Today the electricity mix is still dominated by fossil fuels, but our project is helping to change this. Since solar power is Greenhouse Gas (GHG) emissions free, the power generated will prevent the s emissions generated by from fossil fuel based thermal power stations.",14273.05,Voluntary offsetting,Purchased,Gold Standard
13870,OMV AG,8,,"Other, please specify: Forest Protection",Carbon removal,"The project in the Brazilian Amazon saves carbon emissions by avoiding the deforestation of native forest. The project area covers 148,000 hectares in the municipality of Portel in the north of the country. The regional forests are rich in valuable timber species. To prevent illegal logging, the project supports the so-called ""Ribeirinhos"", who live along the rivers and small streams. They are encouraged to use sustainable agroforestry techniques and receive land use rights for their contribution to nature conservation. Particularly high amounts of carbon are stored in the vegetation and soil of tropical swamp forests, primary rainforests or mangroves.",3200.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
13870,OMV AG,9,,Biomass energy,Emissions reduction,"In Istanbul, Turkey, the emitted landfill gas is collected and electricity is produced through gas engines coupled with generators. Together, both sites have an installed capacity of 48 MW. The electricity is fed into the national grid, substituting the baseline energy mix which is mainly based on fossil fuels. Excess landfill gas is combusted via a flaring system. Before the project started, waste was deposited and left for decay without any collection or destruction of the gas, which led to massive methane emissions. Landfill gas contains about 50 percent methane, which is a potent greenhouse gas.",14437.55,Voluntary offsetting,Purchased,Gold Standard
13870,OMV AG,10,,Hydro,Emissions reduction,"The purpose of this project is to support Turkey's increased energy demand with hydropower. To increase the share of emission-free renewable energy, this project produces green energy based on hydropower. Located in western Turkey at Orhaneli Creek (Uluabat) it serves two purposes: Generating renewable electricity as well as securing long-term water supply for Bursa city and providing irrigation water for agricultural land. The project reduces around 179,880 tonnes of CO2 annually as this amount of electricity would otherwise have been generated using fossil fuels.",18066.75,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
13870,OMV AG,11,,Wind,Emissions reduction,"The project is located in Bursa, Turkey. 35 wind turbines with a total capacity of 105 MW supply the regional power grid with an average of 276,390 MWh per year. The energy generated here is emission-free, reducing carbon emissions by approximately 203,000 tonnes of CO2 per year, as this amount of electricity would otherwise have been generated using fossil fuels.",157.28,Voluntary offsetting,Purchased,Gold Standard
13870,OMV AG,12,,"Other, please specify: Forest Protection",Carbon removal,"The project in Tambopata, in the south-eastern part of the Peruvian region Madre de Dios, is dedicated to conserving the Amazon rainforest. Through a variety of project activities, it supports Brazil nut farmers in protecting the forest and promoting the Brazil nut harvest as a source of income. Forest protection projects ensure that forests are preserved in the long term and that the protection of forests is given a higher value than their deforestation. Particularly high amounts of carbon are stored in the vegetation and soil of tropical swamp forests, primary rainforests or mangroves.",12470.09,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
13870,OMV AG,13,,Wind,Emissions reduction,"This project located in the Indian state Karnataka, uses wind power to generate clean energy. The project consists of 34 wind turbine generators that produce approximately 61,800 MWh of electricity per year. By this, about 91,290 tonnes CO2 per year are saved by replacing an equivalent amount of electricity supplied by thermal power plants.",65994.74,Voluntary offsetting,Purchased,CDM (Clean Development Mechanism)
14169,PACCAR Inc,1,,Transport,Emissions reduction,"PACCAR is subject to EPA’s Heavy Duty Vehicle and Engine Greenhouse Gas (GHG) regulatory program, as well as Environment and Climate Change Canada’s (ECCC) regulations for engines and vehicles produced by PACCAR Engine Company, and PACCAR divisions: Kenworth and Peterbilt. The U.S. regulations are found in 40 CFR 1036 for engines and 40 CFR 1037 for vehicles. PACCAR generates credits by surpassing the applicable standards in any given model year. The 2022 detailed report for Model Year 2022  PACCAR created CO2 emissions credits in the US and Canada and PACCAR retired tonnes of product use CO2 credits in excess of what was needed for regulatory compliance was not yet available as of July 26, 2023 CDP disclosure deadline.",0.00,Voluntary offsetting,Issued,"Other regulatory carbon crediting program, please specify: EPA’s Heavy Duty Vehicle and Engine Greenhouse Gas (GHG) regulatory program, as well as Environment and Climate Change Canada’s (ECCC) regulations for engines and vehicles."
14654,Petróleo Brasileiro SA - Petrobras,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
14774,ORLEN S.A.,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
14802,Pioneer Natural Resources,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
15297,PTT,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
15634,Renault Group,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
15669,Repsol,1,,Forest ecosystem restoration,Emissions reduction,"The  Madre de Dios Amazon REDD Project is a Reduced Emissions from Deforestation and Forest Degradation (REDD) project. It is designed around the impending effects of a new trans-Amazonian, inter-oceanic road that is nearly complete from Brazil to the Pacific Ocean and Peruvian ports. The remaining stretch of the new road is scheduled for completion in 2009, and the completed road system will facilitate the immigration of new settlers into the region. The immigrant population is predicted to subsist by agricultural and agricultural livestock activities. Deforestation and forest degradation are a result of these activities. These effects are already visible in Brazil where the trans-Amazonian road has been complete for some time.In addition to protecting thousands of hectares of jungle, thanks to this project, 35 endangered species are monitored, more than 470 jobs have been created, all of them national, and the Yine and Huitoto native communities have been protected.",2993.00,Voluntary offsetting,Purchased,"CCBS (developed by the Climate, Community and Biodiversity Alliance, CCBA)"
15669,Repsol,2,,Forest ecosystem restoration,Emissions reduction,"The Cordillera Azul National Park REDD+ Project avoids deforestation in a magnificent expanse of lowland and montane forests in four departments in central Peru: San Martín, Ucayali, Huánuco, and Loreto. The area encompasses 1,351,964 hectares inside the national park. The park, owned by the government of Peru, is managed and financed by the Peruvian NGO Centro de Conservación, Investigación y Manejo de Áreas Naturales (CIMA) through a public-private partnership piloted by the Peruvian government. The project’s avoided-deforestation objective is accomplished by strengthening park protection, engaging local communities and other stakeholders in land-use management compatible with conservation, and improving the quality of life of the park’s neighbors. In addition to avoiding deforestation and forest degradation, this project promotes biodiversity. Thanks to proper management of the exploitation of natural resources and the protection of local indigenous communities, more than 1,000 different species of vertebrates, nearly 6,000 species of plants and 35 species new to science are preserved.",7942.00,Voluntary offsetting,Purchased,"CCBS (developed by the Climate, Community and Biodiversity Alliance, CCBA)"
15669,Repsol,3,,Forest ecosystem restoration,Emissions reduction,"Páramos y Bosques, located around the Pacific Coast of Colombia, is one of the projects selected by Repsol. Specifically, we collaborate with the Acapa - Bajo Mira Frontera and Mutatá projects, to offset emissions and to help achieve the Goals United Nations Sustainable Development Goals (SDGs).Currently, the region faces a series of threats that promote the destruction of forests, such as illegal logging or mining. For this reason, the project in which we are involved focuses on the value offered by the area, creating jobs that promote sustainability and generating alliances between suppliers of local products with the current market.With the establishment of an agreement with logging companies to end the felling of trees. In the first 5 years, deforestation has been reduced to 67%. In the creation of 60 forest ranger jobs with native people to protect fauna and flora.Generating $5M in revenue during 2022 through ecotourism, responsible fishing, and sustainable cocoa and coconut extraction.Through this project we seek to invest in a new generation of leaders, reinforce the value of the area and its culture and contribute to the improvement of landscapes, local products and the protection of the extraordinary biodiversity of the place.",10292.00,Voluntary offsetting,Purchased,"CCBS (developed by the Climate, Community and Biodiversity Alliance, CCBA)"
16012,Shell PLC,1,,"Other, please specify: Carbon Capture and Storage (CCS)",Carbon removal,"The purpose of this offset project is to quantify emission reductions generated under the Alberta Offset System from Shell Canada Limited’s (Shell) Quest CCS Project (Quest). The Quest CCS project captures approximately one third of the greenhouse gas emissions at the Scotford Upgrader located at the Scotford Complex, northeast of Edmonton, Alberta. The opportunity for generating carbon offsets with this project arises from the direct greenhouse gas emission reductions resulting from the geological sequestration of CO₂ in saline aquifers located approximately 2 km under the surface in the Basal Cambrian Sands Formation. This activity is considered a permanent sequestration of CO₂.",65483.00,Compliance with a carbon pricing system,Issued,"Other regulatory carbon crediting program, please specify: Alberta Emission Offset System"
16012,Shell PLC,2,,Forest ecosystem restoration,Carbon removal,The Kasigau Corridor REDD Project - Phase II The Community Ranches,1050703.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
16012,Shell PLC,3,,Peatland protection and restoration,Carbon removal,Katingan Peatland Restoration and Conservation Project,2012455.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
16012,Shell PLC,4,,Forest ecosystem restoration,Carbon removal,REDD+ Project for Caribbean Guatemala: The Conservation Coast,188148.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
16012,Shell PLC,5,,Wind,Emissions reduction,"Urla Wind Power Project, Turkey",40875.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
16012,Shell PLC,6,,Wind,Emissions reduction,Inner Mongolia Jingneng Saihan Wind Farm Phase I Project,164728.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
16012,Shell PLC,7,,Wind,Emissions reduction,Inner Mongolia Jingneng Saihan Wind Farm Phase II Project,10627.00,Voluntary offsetting,Purchased,CDM (Clean Development Mechanism)
16012,Shell PLC,8,,Wind,Emissions reduction,Inner Mongolia Ximeng Zheligentu Wind Farm Phase I Project,123145.00,Voluntary offsetting,Purchased,CDM (Clean Development Mechanism)
16012,Shell PLC,9,,Wind,Emissions reduction,Germiyan Wind Power Project,35855.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
16012,Shell PLC,10,,Wind,Emissions reduction,Alaçati Wind Power Project,40635.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
16012,Shell PLC,11,,Soil carbon sequestration,Carbon removal,Adjusted Water Management in Rice Cultivation in Chizhou City,48000.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
16012,Shell PLC,12,,Soil carbon sequestration,Carbon removal,Adjusted Water Management in Rice Cultivation in Nanling County,115000.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
16012,Shell PLC,13,,Soil carbon sequestration,Carbon removal,Adjusted Water Management in Rice Cultivation in Northern Lujiang County,56871.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
16012,Shell PLC,14,,Soil carbon sequestration,Carbon removal,Adjusted Water Management in Rice Cultivation in Tongcheng City,20862.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
16012,Shell PLC,15,,Soil carbon sequestration,Carbon removal,Adjusted Water Management in Rice Cultivation in Xuanzhou District,101775.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
16012,Shell PLC,16,,Soil carbon sequestration,Carbon removal,Adjusted Water Management in Rice Cultivation in Huaining County,56466.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
16012,Shell PLC,17,,Afforestation,Carbon removal,Qinghai Afforestation Project,7500.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
16012,Shell PLC,18,,Afforestation,Carbon removal,Qianxinan Afforestation Project in Guizhou Province,37864.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
16012,Shell PLC,19,,Afforestation,Carbon removal,Puzhen Afforestation Project in Guizhou Province,100000.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
16012,Shell PLC,20,,Afforestation,Carbon removal,Guinan Afforestation Project,27364.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
16012,Shell PLC,21,,Afforestation,Carbon removal,Haidong Afforestation Project,40903.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
16012,Shell PLC,22,,Afforestation,Carbon removal,Hechu Afforestation Project in Anhui Province,144597.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
16012,Shell PLC,23,,Afforestation,Carbon removal,Afforestation Project in Xining City,40000.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
16012,Shell PLC,24,,Reforestation,Carbon removal,Reforestation of Degraded Forest Reserves in Ghana,400.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
16012,Shell PLC,25,,Forest ecosystem restoration,Carbon removal,"Reduction of Deforestation and Degradation in Tambopata National Reserve and Bahuaja-Sonene National Park within the Area of Madre de Dios Region, Peru.",29725.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
16012,Shell PLC,26,,Forest ecosystem restoration,Carbon removal,Cordillera Azul National Park REDD Project,937871.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
16012,Shell PLC,27,,Reforestation,Carbon removal,Curraweena Regeneration Project,34708.00,Voluntary offsetting,Purchased,Emissions Reduction Fund of the Australian Government
16012,Shell PLC,28,,Forest ecosystem restoration,Carbon removal,Darkwoods Forest Carbon Project,181402.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
16012,Shell PLC,29,,Clean cookstove distribution,Emissions reduction,Distribution of Improved Cook Stove - Phase 11,54137.00,Voluntary offsetting,Purchased,CDM (Clean Development Mechanism)
16012,Shell PLC,30,,Clean cookstove distribution,Emissions reduction,Distribution of Improved Cook Stove - Phase VI,44674.00,Voluntary offsetting,Purchased,CDM (Clean Development Mechanism)
16012,Shell PLC,31,,Solar,Emissions reduction,30 MW Solar PV Project by Nirosha Solar Power Private Limited,29558.00,Voluntary offsetting,Purchased,Gold Standard
16012,Shell PLC,32,,Soil carbon sequestration,Carbon removal,Zhangye Improved Grassland Management,19435.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
16418,Schlumberger Limited,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
17420,Southwest Airlines Co.,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
17929,Suncor Energy Inc.,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
18074,Suzuki Motor Corporation,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
18285,Tata Motors,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
19257,TotalEnergies,1,,Afforestation,Carbon removal,Deliver offsetting service for products/services for B2B and B2C customers. The purpose of cancellation is retirement for customers and retirement for compensation of collaborators Emissions related to airplane travels.,640000.00,Voluntary offsetting,Purchased,Gold Standard
19290,Toyota Motor Corporation,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
19304,TC Energy,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
19569,United Airlines Holdings,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
20048,Valero Energy Corporation,0,,,,,,,,
20309,Volkswagen AG,1,,Wind,Emissions reduction,GS 472-InfraVest Changbin and Taichung bundled Wind Farms Project,129011.00,Voluntary offsetting,Purchased,Gold Standard
20309,Volkswagen AG,2,,Solar,Emissions reduction,VCS 1580-Solar Grouped project by ACME Group,471354.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,3,,Solar,Emissions reduction,VCS 1851-Rennewable Solar Power Project by Renew Solar Power Private Limited,698820.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,4,,Afforestation,Carbon removal,VCS 2310-Anhuang Afforestation Project,160410.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,5,,Afforestation,Carbon removal,VCS 2387-Liugui Afforestation Project,103574.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,6,,"Other, please specify: Biodiversity Reserve Project",Emissions reduction,VCS 674-Rimba Raya Biodiversity Reserve Project,300000.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,7,,Hydro,Emissions reduction,VCS 1152-Arca Hydro Electricity Power Plant,448.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,8,,Geothermal,Emissions reduction,VCS 144-Salak Geothermal,6200.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,9,,Reforestation,Emissions reduction,VCS 1897-NTAKATA Mountains Redd,124326.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,10,,Solar,Emissions reduction,VCS 1805-Solar Energy Project(s) by SB Energy Private Limited,919770.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,11,,Forest ecosystem restoration,,VCS 612-The Kasigau Corridor Redd Project - Phase II,10000.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,12,,"Other, please specify: Forest protection",Emissions reduction,VCS 902-Kariba REDD+,85828.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,13,,Afforestation,Emissions reduction,VCS 1775-Luangwa Community Forests Project,24830.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,14,,Wind,Emissions reduction,VCS 1187- Shandong Yishui Tangwangshan Wind Farm Project,27043.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,15,,Wind,Emissions reduction,VCS 1188-Shandong Wendeng Zhangjiachan Wind Farm Project,78969.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,16,,Wind,Emissions reduction,VCS 1189-Shandong Taipingshan Wind Farm Project,81164.00,Compliance with a carbon pricing system,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,17,,Wind,Emissions reduction,GS 472-InfraVest Changbin and Taichung bundled Wind Farms Project,10490.00,,Purchased,Gold Standard
20309,Volkswagen AG,18,,Solar,Emissions reduction,VCS 1580-Solar Grouped project by ACME Group,78821.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,19,,Afforestation,Emissions reduction,VCS 2310-Anhuang Afforestation Project,160119.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,20,,Hydro,Emissions reduction,VCS 1152-Arca Hydro Electricity Power Plant,25202.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,21,,Hydro,Emissions reduction,VCS 1152-Arca Hydro Electricity Power Plant,26443.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,22,,Hydro,Emissions reduction,VCS 1152-Arca Hydro Electricity Power Plant,6900.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,23,,Geothermal,Emissions reduction,VCS 144-Salak Geothermal,4000.00,Voluntary offsetting,,VCS (Verified Carbon Standard)
20309,Volkswagen AG,24,,Geothermal,Emissions reduction,VCS 144-Salak Geothermal,1000.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,25,,Reforestation,Emissions reduction,VCS 1897-NTAKATA Mountains Redd,75674.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,26,,Solar,Emissions reduction,VCS 1805-Solar Energy Project(s) by SB Energy Private Limited,816957.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,27,,Forest ecosystem restoration,,VCS 612-The Kasigau Corridor Redd Project - Phase II,1725.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,28,,"Other, please specify: Forest protection",,VCS 902-Kariba REDD+,218172.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,29,,"Other, please specify: Forest protection",Emissions reduction,VCS 902-Kariba REDD+,32567.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,30,,"Other, please specify: Forest protection",Emissions reduction,VCS 902-Kariba REDD+,750000.00,Compliance with a carbon pricing system,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,31,,"Other, please specify: Forest protection",Emissions reduction,VCS 1775-Luangwa Community Forests Project,25000.00,Compliance with a carbon pricing system,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,32,,Wind,Emissions reduction,VCS 1187- Shandong Yishui Tangwangshan Wind Farm Project,28389.00,Compliance with a carbon pricing system,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,33,,Wind,Emissions reduction,VCS 1187- Shandong Yishui Tangwangshan Wind Farm Project,11984.00,Compliance with a carbon pricing system,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,34,,Wind,,VCS 1188-Shandong Wendeng Zhangjiachan Wind Farm Project,78247.00,Compliance with a carbon pricing system,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,35,,Wind,,VCS 1188-Shandong Wendeng Zhangjiachan Wind Farm Project,5162.00,Compliance with a carbon pricing system,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,36,,Wind,Emissions reduction,VCS 1188-Shandong Wendeng Zhangjiachan Wind Farm Project,15085.00,Compliance with a carbon pricing system,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,37,,Wind,Emissions reduction,VCS 1189-Shandong Taipingshan Wind Farm Project,81816.00,Compliance with a carbon pricing system,Purchased,VCS (Verified Carbon Standard)
20309,Volkswagen AG,38,,Wind,Emissions reduction,VCS 1189-Shandong Taipingshan Wind Farm Project,28925.00,Compliance with a carbon pricing system,Purchased,VCS (Verified Carbon Standard)
20705,"The Williams Companies, Inc.",0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
20949,YPF SA,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
21135,KOÇ HOLDİNG A.Ş.,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
21148,TÜRK HAVA YOLLARI A.O.,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
21845,San Miguel Corp,0,,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable,Question not applicable
22213,Ryanair Holding PLC,1,,Energy efficiency: households,Emissions reduction,"The Gold Standard project helps to distribute energy-efficient cookstoves to households  within Uganda's Kampala region. This has meant families can significantly lower charcoal use and save on the cost of fuel, reducing greenhouse gas emissions and conserving the area’s native woodland. Furthermore, the improved design of the stoves leads to a much higher combustion temperature, helping to shrink indoor pollution and therefore prevent associated health problems like respiratory infections, cardiovascular disease and ocular disease.Project type ""Energy efficiency: households"" has been selected in line with the Gold Standard categorization. 'Clean Cookstoves may also be deemed appropriate however, this would not be in line with Gold Standard.",200000.00,Voluntary offsetting,Purchased,Gold Standard
22341,Ecopetrol S.A.,1,,Agroforestry,Carbon removal,"This project is an Agriculture, Forestry and Other Land Use (AFOLU) project under the Reducing Emissions from Deforestation and Degradation (REDD) project category. Specifically, the project is of the “Avoided Unplanned Deforestation & Degradation” (AUDD) project category. The project area is located in the collective territories of Bajo Calima and La Plata-Bahía Málaga in the Pacific coastal municipality of Buenaventura, in the Department of Valle de Cauca. Belonging to the biologically diverse Chocó-Darién bioregion, forests in the project area are important nationally and internationally for the ecosystem services they provide. The project area forests, however, have experienced a continued reduction in biomass due largely to illegal logging. These forests have historically been an important source of income for local families, who periodically harvest timber when the economic needs arise.Illegal timber extraction is historically an important source of income within the project zone and is the major focus of the REDD+ project. Following from the gradual degradation of forests caused by continual timber extraction, many forest areas are ultimately converted to agriculture and pasture. The project aims to alleviate these pressures on the forests through the support of governance capacity (including individual property titling, land-use planning and conservation zone demarcation), the generation of alternative economic activities and income sources, and through capacity building in administration and management. These project activities, beyond protecting local forests and biodiversity, contribute to social and economic development in one of the poorest areas of Colombia. The effectiveness of these activities is partially dependent on their long-term economic success and wide-spread adoption.The project objectives are threefold: (i) to mitigate climate change by reducing deforestation and forest degradation, and recuperation of already degraded forest lands; (ii) contribute to biodiversity conservation including High Conservation Values, and (iii) foster sustainable development of local communities.",72412.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
22341,Ecopetrol S.A.,2,,Agroforestry,Carbon removal,"This project is an Agriculture, Forestry and Other Land Use (AFOLU) project under the Reducing Emissions from Deforestation and Degradation (REDD) project category. Specifically, the project is of the “Avoided Unplanned Deforestation & Degradation” (AUDD) project category. The project area is located in the collective territories of Río Pepé and Acaba, in the municipalities of Medio y Alto Baudó, on the Pacific coast of Colombia. Belonging to the biologically diverse Chocó-Darién bioregion, forests of the area are important nationally and internationally for the ecosystem services they provide. The project area forests, however, haveexperienced a continued reduction in biomass due largely to illegal logging. Project area forests are also an important source of income for local families, who periodically harvest timber when the economic needs arise.Illegal timber extraction is historically an important source of income within the project zone and is the major focus of the REDD+ project. Following from the gradual degradation of forests caused by continual timber extraction, many forest areas are ultimately converted to agriculture and pasture. The project aims to alleviate these pressures on the forests through the support of governance capacity (including individual property titling, land-use planning and conservation zone demarcation), the generation of alternative economic activities and income sources, and through capacity building in administration and management. These project activities, beyond protecting local forests and biodiversity, contribute to social and economic development in one of the poorest areas of Colombia. The effectiveness of these activities is partially dependent on their long-term economic success and wide-spread adoption.The project objectives are threefold: (i) to mitigate climate change by reducing deforestation and forest degradation, and through natural recuperation of already degraded forest lands; (ii) contribute to biodiversity conservation including High Conservation Values, and, (iii) foster sustainable development of local communities.",50000.00,Voluntary offsetting,Purchased,VCS (Verified Carbon Standard)
22341,Ecopetrol S.A.,3,,Agroforestry,Carbon removal,"The Caribbean Region Climate Change Mitigation Project (CCMP) has the purpose to reduce and remove greenhouse gases (GHG) through forest plantations and the conservation of dry and very dry tropical forests. The project’s Reference Region (RR) is part of the departments of Bolívar and Magdalena, in the Colombian Caribbean, between the Montes de María subregion and the Momposina depression. In the RR, historical, socioeconomic and cultural contexts are associated with the ecosystem richness and productivity, facilitating the establishment and development of agricultural activities by different human populations. The historical development of agricultural and mining activities and the mismanagement of water resources in the region have led to deforestation and forest degradation, making this one of the country’s areas with the greatest loss of natural cover over the years, which has led to forest fragmentation and loss. The Caribbean Region CCMP began its activities on lands that had previously housed fattening cattle, which had the potential to continue growing in number of units, but reforestation and forest conservation activities have prevented the loss of carbon reserves in this privately-owned territory. The Caribbean Region CCMP intends to increase the areas reforested and continue with the activities aimed at preserving existing forest remnants. The Caribbean Region CCMP seeks to become a pioneer project with certified GHG removals and reductions in the Colombian Caribbean since the protection of tropical dry forests and the establishment of native species are aimed at integrating community and environment in a sustainable way.The main objective of the project is to develop activities that promote the positive impacts of sustainable forest production and management on communities and the environment, mitigating the potential negative impacts that forest production can generate both socially and environmentally. In addition, it has the objective of conserving the tropical dry forest in order to guarantee the protection of species of high conservation value such as Belencita nemorosa.",118479.00,Voluntary offsetting,Purchased,"Other private carbon crediting program, please specify: Biocarbon Registry (BCR)"
22341,Ecopetrol S.A.,4,,Hydro,Carbon removal,"In the language curripaco, YAAWI IIPANA REDD+ is translated as “House of The jaguar”, this is the name assigned by the indigenous reserves Morichal Viejo, Santa Rosa, Cerro Cocuy, Santa Cruz, Cano Tapir and others to this important conservation project located in El Retorno, Guaviare.YAAWI IIPANA REDD+ seeks to minimize the impact caused by deforestation and forest degradation through a comprehensive vision of development of the territory, following the guidelines issued by the community, which include initiatives in the reforestation of degraded ecosystems and the social monitoring with custodians forest, the strengthening of the agricultural sector – productive and self-sufficiency with the improvement of conucos, the construction of educational institutions, health posts and kiosks digital; the support for students to access higher education, the improvement of housing and transportation, among others.",12164.00,Voluntary offsetting,Purchased,"Other private carbon crediting program, please specify: Biocarbon Registry (BCR)"
